Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Axial force,Gap,Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Axial force,Gap,
Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,N,µm,Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,N,µm,
1723620,0.0080303,214640000,1.50998,105.019,-0.486756,1.02042,238.584,-0.486756,32409.2,34439200,-0.00165929,-20755400000,1.50998,105.054,-8.92796,-0.332393,4767.09,-8.92796,32408.4,20.524307
3572100,0.00306706,1164660000,4.65309,105.037,-0.589688,2.21049,494.451,-0.589688,32409.2,32589000,-0.0019751,-16499900000,4.65309,104.998,-8.44939,-0.722712,4510.97,-8.44939,32408.6,20.133988
5345030,0.00629671,848862000,7.66774,105.024,-0.753155,3.39472,739.861,-0.753155,32409.2,30814300,-0.00232739,-13239800000,7.66774,105.02,-7.94492,-1.18838,4265.32,-7.94492,32408.5,19.66832
7117970,0.00518367,1373150000,10.6824,105.005,-0.99299,4.54281,985.272,-0.99299,32409.2,29039600,-0.00260313,-11155600000,10.6824,104.97,-7.39958,-1.73829,4019.67,-7.39958,32408.5,19.11841
8852360,0.00560397,1579660000,13.6315,105.007,-1.31869,5.75262,1225.35,-1.31869,32409.2,27303500,-0.00288009,-9480090000,13.6315,104.989,-6.89023,-2.32862,3779.36,-6.89023,32408.6,18.52808
10586800,0.00592676,1786260000,16.5806,105.008,-1.6485,6.97823,1465.42,-1.6485,32409.2,25567400,-0.00300924,-8496300000,16.5806,105.035,-6.38587,-2.96068,3539.05,-6.38587,32408.5,17.89602
12359700,0.00554489,2229020000,19.5953,104.99,-1.98066,8.24837,1710.83,-1.98066,32409.2,23792700,-0.00311433,-7639760000,19.5953,104.99,-5.85557,-3.62914,3293.4,-5.85557,32408.6,17.22756
14132600,0.00527098,2681220000,22.61,104.986,-2.35617,9.44217,1956.24,-2.35617,32409.2,22018100,-0.00327541,-6722240000,22.61,105.026,-5.32885,-4.33167,3047.75,-5.32885,32408.6,16.52503
15905600,0.00501417,3172120000,25.6246,105.004,-2.79774,10.5635,2201.65,-2.79774,32409.1,20243400,-0.00352305,-5745970000,25.6246,104.971,-4.8558,-5.07323,2802.1,-4.8558,32408.7,15.78347
17678500,0.0049979,3537180000,28.6393,105.018,-3.28333,11.6598,2447.06,-3.28333,32409.1,18468700,-0.00387453,-4766690000,28.6393,105.017,-4.42131,-5.88687,2556.44,-4.42131,32408.6,14.96983
19451400,0.00503058,3866640000,31.6539,105,-3.78216,12.7641,2692.47,-3.78216,32409,16694000,-0.00432135,-3863160000,31.6539,105.02,-3.96625,-6.78417,2310.79,-3.96625,32408.6,14.07253
21224400,0.00485514,4371520000,34.6686,105.039,-4.29837,13.8551,2937.88,-4.29837,32408.9,14919400,-0.00489418,-3048390000,34.6686,104.978,-3.49238,-7.79517,2065.14,-3.49238,32408.7,13.06153
22997300,0.00443522,5185150000,37.6832,105,-4.82607,14.877,3183.29,-4.82607,32409,13144700,-0.00533873,-2462140000,37.6832,104.994,-3.01811,-8.92833,1819.49,-3.01811,32408.7,11.92837
24731700,0.00409531,6039030000,40.6324,104.991,-5.35328,15.7923,3423.37,-5.35328,32408.9,11408600,-0.00550244,-2073370000,40.6324,105.021,-2.56654,-10.0968,1579.18,-2.56654,32408.7,10.7599
26466100,0.00393204,6730880000,43.5815,105.027,-5.88158,16.6489,3663.44,-5.88158,32408.8,9672490,-0.00570189,-1696370000,43.5815,105.015,-2.14201,-11.2939,1338.87,-2.14201,32408.8,9.5628
28239000,0.00380633,7418960000,46.5961,105.019,-6.44828,17.4935,3908.85,-6.44828,32408.8,7897810,-0.00627678,-1258260000,46.5961,105.01,-1.76335,-12.6041,1093.22,-1.76335,32408.8,8.2526
30011900,0.00381,7877150000,49.6108,104.996,-7.08252,18.3297,4154.26,-7.08252,32408.8,6123140,-0.00716724,-854322000,49.6108,104.997,-1.43776,-14.081,847.567,-1.43776,32408.8,6.7757
31784900,0.00390142,8147010000,52.6254,104.988,-7.75478,19.1754,4399.67,-7.75478,32408.7,4348460,-0.00754002,-576718000,52.6254,104.994,-1.1019,-15.7077,601.916,-1.1019,32408.9,5.149
33557800,0.00382955,8762860000,55.6401,104.99,-8.40867,20.0262,4645.08,-8.40867,32408.6,2573790,-0.00758087,-339511000,55.6401,105,-0.784578,-17.3649,356.264,-0.784578,32408.9,3.4918
35328200,0.00370224,9542380000,58.6548,104.987,-9.0686,20.8567,4890.14,-9.0686,32408.6,801678,-0.00811932,-98737100,58.6548,105.005,-0.586496,-19.0816,110.969,-0.586496,32409,1.7751
