164,57:34.3,2.39E+01,C
165,57:34.4,2.39E+01,C
166,57:34.6,2.39E+01,C
167,57:34.7,2.39E+01,C
168,57:34.8,2.39E+01,C
169,57:35.1,2.40E+01,C
170,57:35.2,2.39E+01,C
171,57:35.4,2.40E+01,C
172,57:35.5,2.40E+01,C
173,57:35.6,2.40E+01,C
174,57:35.8,2.40E+01,C
175,57:35.9,2.40E+01,C
176,57:36.0,2.40E+01,C
177,57:36.2,2.40E+01,C
178,57:36.3,2.40E+01,C
179,57:36.4,2.40E+01,C
180,57:36.6,2.40E+01,C
181,57:36.7,2.40E+01,C
182,57:36.8,2.41E+01,C
183,57:37.1,2.41E+01,C
184,57:37.2,2.41E+01,C
185,57:37.4,2.41E+01,C
186,57:37.5,2.42E+01,C
187,57:37.6,2.43E+01,C
188,57:37.8,2.44E+01,C
189,57:37.9,2.45E+01,C
190,57:38.0,2.44E+01,C
191,57:38.2,2.45E+01,C
192,57:38.3,2.45E+01,C
193,57:38.4,2.45E+01,C
194,57:38.6,2.45E+01,C
195,57:38.7,2.45E+01,C
196,57:38.8,2.45E+01,C
197,57:39.0,2.45E+01,C
198,57:39.1,2.45E+01,C
199,57:39.2,2.45E+01,C
200,57:39.5,2.45E+01,C
201,57:39.6,2.45E+01,C
202,57:39.8,2.45E+01,C
203,57:39.9,2.45E+01,C
204,57:40.0,2.45E+01,C
205,57:40.2,2.45E+01,C
206,57:40.3,2.45E+01,C
207,57:40.4,2.45E+01,C
208,57:40.6,2.45E+01,C
209,57:40.7,2.45E+01,C
210,57:40.8,2.45E+01,C
211,57:41.0,2.45E+01,C
212,57:41.1,2.45E+01,C
213,57:41.2,2.45E+01,C
214,57:41.4,2.45E+01,C
215,57:41.5,2.45E+01,C
216,57:41.8,2.45E+01,C
217,57:41.9,2.45E+01,C
218,57:42.0,2.46E+01,C
219,57:42.2,2.46E+01,C
220,57:42.3,2.46E+01,C
221,57:42.4,2.46E+01,C
222,57:42.6,2.46E+01,C
223,57:42.7,2.47E+01,C
224,57:42.8,2.52E+01,C
225,57:43.0,2.55E+01,C
226,57:43.1,2.57E+01,C
227,57:43.2,2.59E+01,C
228,57:43.4,2.60E+01,C
229,57:43.5,2.62E+01,C
230,57:43.8,2.67E+01,C
231,57:43.9,2.69E+01,C
232,57:44.0,2.70E+01,C
233,57:44.2,2.70E+01,C
234,57:44.3,2.72E+01,C
235,57:44.4,2.73E+01,C
236,57:44.6,2.73E+01,C
237,57:44.7,2.74E+01,C
238,57:44.8,2.74E+01,C
239,57:45.0,2.74E+01,C
240,57:45.1,2.74E+01,C
241,57:45.2,2.74E+01,C
242,57:45.4,2.76E+01,C
243,57:45.5,2.76E+01,C
244,57:45.6,2.77E+01,C
245,57:45.8,2.78E+01,C
246,57:46.0,2.78E+01,C
247,57:46.2,2.78E+01,C
248,57:46.3,2.79E+01,C
249,57:46.4,2.80E+01,C
250,57:46.6,2.80E+01,C
251,57:46.7,2.81E+01,C
252,57:46.8,2.81E+01,C
253,57:47.0,2.81E+01,C
254,57:47.1,2.80E+01,C
255,57:47.2,2.80E+01,C
256,57:47.4,2.80E+01,C
257,57:47.5,2.80E+01,C
258,57:47.6,2.81E+01,C
259,57:47.8,2.81E+01,C
260,57:47.9,2.81E+01,C
261,57:48.2,2.81E+01,C
262,57:48.3,2.81E+01,C
263,57:48.4,2.81E+01,C
264,57:48.6,2.81E+01,C
265,57:48.7,2.81E+01,C
266,57:48.8,2.81E+01,C
267,57:49.0,2.81E+01,C
268,57:49.1,2.80E+01,C
269,57:49.2,2.81E+01,C
270,57:49.4,2.80E+01,C
271,57:49.5,2.80E+01,C
272,57:49.6,2.80E+01,C
273,57:49.8,2.81E+01,C
274,57:49.9,2.81E+01,C
275,57:50.0,2.81E+01,C
276,57:50.3,2.81E+01,C
277,57:50.4,2.81E+01,C
278,57:50.6,2.82E+01,C
279,57:50.7,2.82E+01,C
280,57:50.8,2.82E+01,C
281,57:51.0,2.86E+01,C
282,57:51.1,3.01E+01,C
283,57:51.2,3.13E+01,C
284,57:51.4,3.26E+01,C
285,57:51.5,3.38E+01,C
286,57:51.6,3.51E+01,C
287,57:51.8,3.64E+01,C
288,57:51.9,3.78E+01,C
289,57:52.0,3.91E+01,C
290,57:52.2,4.03E+01,C
291,57:52.3,4.15E+01,C
292,57:52.6,4.36E+01,C
293,57:52.7,4.47E+01,C
294,57:52.8,4.56E+01,C
295,57:53.0,4.64E+01,C
296,57:53.1,4.73E+01,C
297,57:53.2,4.80E+01,C
298,57:53.4,4.87E+01,C
299,57:53.5,4.95E+01,C
300,57:53.6,5.02E+01,C
301,57:53.8,5.09E+01,C
302,57:53.9,5.15E+01,C
303,57:54.0,5.22E+01,C
304,57:54.2,5.28E+01,C
305,57:54.3,5.34E+01,C
306,57:54.4,5.39E+01,C
307,57:54.7,5.50E+01,C
308,57:54.8,5.56E+01,C
309,57:55.0,5.61E+01,C
310,57:55.1,5.66E+01,C
311,57:55.2,5.71E+01,C
312,57:55.4,5.76E+01,C
313,57:55.5,5.80E+01,C
314,57:55.6,5.85E+01,C
315,57:55.8,5.89E+01,C
316,57:55.9,5.94E+01,C
317,57:56.0,5.98E+01,C
318,57:56.2,6.02E+01,C
319,57:56.3,6.06E+01,C
320,57:56.4,6.09E+01,C
321,57:56.6,6.12E+01,C
322,57:56.8,6.17E+01,C
323,57:57.0,6.20E+01,C
324,57:57.1,6.24E+01,C
325,57:57.2,6.27E+01,C
326,57:57.4,6.30E+01,C
327,57:57.5,6.33E+01,C
328,57:57.6,6.35E+01,C
329,57:57.8,6.37E+01,C
330,57:57.9,6.40E+01,C
331,57:58.0,6.42E+01,C
332,57:58.2,6.45E+01,C
333,57:58.3,6.47E+01,C
334,57:58.4,6.50E+01,C
335,57:58.6,6.52E+01,C
336,57:58.7,6.54E+01,C
337,57:58.8,6.56E+01,C
338,57:59.1,6.60E+01,C
339,57:59.2,6.62E+01,C
